sample_name,fname,min_t,max_t,label,species,quality,site,date,classID,class,fold,subset,INCT20955_ABSENCE,INCT20955_BOAFAB_F,INCT20955_BOAFAB_M,INCT20955_PHYCUV_F,INCT20955_PHYCUV_M,INCT41_ABSENCE,INCT41_BOAALB_F,INCT41_BOAALB_M,INCT41_BOALUN_F,INCT41_BOALUN_M,INCT41_DENCRU_F,INCT41_DENCRU_M,INCT41_PHYCUV_F,INCT41_PHYCUV_M,INCT41_PHYMAR_F,INCT41_PHYMAR_M,INCT41_PITAZU_F,INCT41_PITAZU_M
SAMPLE_00000_INCT20955_BOAFAB_F_FOLD_4.wav,INCT20955_20190930_210000,14,17,BOAFAB_F,BOAFAB,F,INCT20955,2019-09-30 21:00:00,8,INCT20955_BOAFAB_F,4,train,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_00001_INCT20955_BOAFAB_F_FOLD_4.wav,INCT20955_20190930_210000,20,23,BOAFAB_F,BOAFAB,F,INCT20955,2019-09-30 21:00:00,8,INCT20955_BOAFAB_F,4,train,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_00002_INCT20955_BOAFAB_F_FOLD_4.wav,INCT20955_20190930_210000,25,28,BOAFAB_F,BOAFAB,F,INCT20955,2019-09-30 21:00:00,8,INCT20955_BOAFAB_F,4,train,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_00003_INCT20955_BOAFAB_F_FOLD_4.wav,INCT20955_20190930_210000,30,33,BOAFAB_F,BOAFAB,F,INCT20955,2019-09-30 21:00:00,8,INCT20955_BOAFAB_F,4,train,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_00004_INCT20955_BOAFAB_F_FOLD_4.wav,INCT20955_20190930_210000,33,36,BOAFAB_F,BOAFAB,F,INCT20955,2019-09-30 21:00:00,8,INCT20955_BOAFAB_F,4,train,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_00005_INCT20955_BOAFAB_F_FOLD_4.wav,INCT20955_20190930_210000,36,39,BOAFAB_F,BOAFAB,F,INCT20955,2019-09-30 21:00:00,8,INCT20955_BOAFAB_F,4,train,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_00006_INCT20955_BOAFAB_F_FOLD_4.wav,INCT20955_20190930_210000,40,43,BOAFAB_F,BOAFAB,F,INCT20955,2019-09-30 21:00:00,8,INCT20955_BOAFAB_F,4,train,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_00007_INCT20955_BOAFAB_F_FOLD_4.wav,INCT20955_20190930_210000,46,49,BOAFAB_F,BOAFAB,F,INCT20955,2019-09-30 21:00:00,8,INCT20955_BOAFAB_F,4,train,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_00008_INCT20955_BOAFAB_F_FOLD_4.wav,INCT20955_20190930_210000,51,54,BOAFAB_F,BOAFAB,F,INCT20955,2019-09-30 21:00:00,8,INCT20955_BOAFAB_F,4,train,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_00009_INCT20955_BOAFAB_F_FOLD_4.wav,INCT20955_20190930_210000,58,61,BOAFAB_F,BOAFAB,F,INCT20955,2019-09-30 21:00:00,8,INCT20955_BOAFAB_F,4,train,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_00010_INCT20955_BOAFAB_M_FOLD_3.wav,INCT20955_20191011_214500,0,3,BOAFAB_M,BOAFAB,M,INCT20955,2019-10-11 21:45:00,2,INCT20955_BOAFAB_M,3,train,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_00011_INCT20955_BOAFAB_M_FOLD_3.wav,INCT20955_20191011_214500,3,6,BOAFAB_M,BOAFAB,M,INCT20955,2019-10-11 21:45:00,2,INCT20955_BOAFAB_M,3,train,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_00012_INCT20955_BOAFAB_M_FOLD_3.wav,INCT20955_20191011_214500,6,9,BOAFAB_M,BOAFAB,M,INCT20955,2019-10-11 21:45:00,2,INCT20955_BOAFAB_M,3,train,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_00013_INCT20955_BOAFAB_M_FOLD_3.wav,INCT20955_20191011_214500,9,12,BOAFAB_M,BOAFAB,M,INCT20955,2019-10-11 21:45:00,2,INCT20955_BOAFAB_M,3,train,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_00014_INCT20955_BOAFAB_M_FOLD_3.wav,INCT20955_20191011_214500,12,15,BOAFAB_M,BOAFAB,M,INCT20955,2019-10-11 21:45:00,2,INCT20955_BOAFAB_M,3,train,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_00015_INCT20955_BOAFAB_M_FOLD_3.wav,INCT20955_20191011_214500,15,18,BOAFAB_M,BOAFAB,M,INCT20955,2019-10-11 21:45:00,2,INCT20955_BOAFAB_M,3,train,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_00016_INCT20955_BOAFAB_M_FOLD_3.wav,INCT20955_20191011_214500,18,21,BOAFAB_M,BOAFAB,M,INCT20955,2019-10-11 21:45:00,2,INCT20955_BOAFAB_M,3,train,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_00017_INCT20955_BOAFAB_M_FOLD_3.wav,INCT20955_20191011_214500,21,24,BOAFAB_M,BOAFAB,M,INCT20955,2019-10-11 21:45:00,2,INCT20955_BOAFAB_M,3,train,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_00018_INCT20955_BOAFAB_M_FOLD_3.wav,INCT20955_20191011_214500,24,27,BOAFAB_M,BOAFAB,M,INCT20955,2019-10-11 21:45:00,2,INCT20955_BOAFAB_M,3,train,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_00019_INCT20955_BOAFAB_M_FOLD_3.wav,INCT20955_20191011_214500,27,30,BOAFAB_M,BOAFAB,M,INCT20955,2019-10-11 21:45:00,2,INCT20955_BOAFAB_M,3,train,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_00020_INCT20955_BOAFAB_M_FOLD_3.wav,INCT20955_20191011_214500,30,33,BOAFAB_M,BOAFAB,M,INCT20955,2019-10-11 21:45:00,2,INCT20955_BOAFAB_M,3,train,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMPLE_00021_INCT20955_BOAFAB_M_FOLD_3.wav,INCT20955_20191011_214500,33,36,BOAFAB_M,BOAFAB,M,INCT20955,2019-10-11 21:45:00,2,INCT20955_BOAFAB_M,3,train,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
